"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.025213,0.0098862,0.026583,-2.6269e-05,0.007967,-4.1892e-05,0,0,0.048402,-0.020783,0,-0.00021784,0,0,0,0.026583,-2.6346e-05,0.007967,-0.090052,0.011508,0.023649,4.2693e-07,0.52,0,0
0.025697,0.0099972,0.026645,-2.6928e-05,0.0079856,-4.7107e-05,0,0,0.048516,-0.020832,0,-0.00024496,0,0,0,0.026646,-2.7025e-05,0.0079856,-0.10103,0.011535,0.023705,4.2996e-07,0.53,0,0
0.026183,0.010104,0.026715,-2.7372e-05,0.0080062,-5.1585e-05,0,0,0.048642,-0.020887,0,-0.00026824,0,0,0,0.026715,-2.7488e-05,0.0080062,-0.11034,0.011565,0.023767,4.3333e-07,0.54,0,0
0.02667,0.010205,0.02679,-2.7621e-05,0.0080288,-5.5355e-05,0,0,0.04878,-0.020947,0,-0.00028784,0,0,0,0.02679,-2.7753e-05,0.0080288,-0.11808,0.011597,0.023834,4.3701e-07,0.55,0,0
0.027159,0.010303,0.026871,-2.7697e-05,0.0080529,-5.8458e-05,0,0,0.048926,-0.021009,0,-0.00030398,0,0,0,0.026871,-2.7844e-05,0.0080529,-0.12433,0.011632,0.023905,4.4096e-07,0.56,0,0
0.027649,0.010396,0.026955,-2.7621e-05,0.0080782,-6.0944e-05,0,0,0.049079,-0.021075,0,-0.00031691,0,0,0,0.026955,-2.778e-05,0.0080782,-0.12922,0.011668,0.02398,4.4512e-07,0.57,0,0
0.02814,0.010485,0.027042,-2.7414e-05,0.0081045,-6.2866e-05,0,0,0.049239,-0.021143,0,-0.0003269,0,0,0,0.027043,-2.7583e-05,0.0081045,-0.13287,0.011707,0.024058,4.4947e-07,0.58,0,0
0.028633,0.010569,0.027132,-2.7097e-05,0.0081316,-6.4278e-05,0,0,0.049402,-0.021213,0,-0.00033424,0,0,0,0.027133,-2.7273e-05,0.0081316,-0.13542,0.011746,0.024138,4.5396e-07,0.59,0,0
0.029128,0.01065,0.027224,-2.6689e-05,0.0081592,-6.5233e-05,0,0,0.049569,-0.021283,0,-0.00033921,0,0,0,0.027224,-2.6869e-05,0.0081592,-0.13698,0.011786,0.024219,4.5857e-07,0.6,0,0
0.029625,0.010727,0.027317,-2.6207e-05,0.0081872,-6.5783e-05,0,0,0.049737,-0.021355,0,-0.00034207,0,0,0,0.027317,-2.639e-05,0.0081872,-0.13767,0.011826,0.024301,4.6326e-07,0.61,0,0
0.030123,0.0108,0.02741,-2.5666e-05,0.0082154,-6.5974e-05,0,0,0.049907,-0.021427,0,-0.00034306,0,0,0,0.02741,-2.5849e-05,0.0082154,-0.13761,0.011867,0.024384,4.6802e-07,0.62,0,0
0.030623,0.01087,0.027504,-2.508e-05,0.0082436,-6.5851e-05,0,0,0.050076,-0.021499,0,-0.00034242,0,0,0,0.027504,-2.5262e-05,0.0082436,-0.1369,0.011907,0.024466,4.728e-07,0.63,0,0
0.031124,0.010936,0.027597,-2.4461e-05,0.0082717,-6.5452e-05,0,0,0.050245,-0.02157,0,-0.00034035,0,0,0,0.027597,-2.464e-05,0.0082717,-0.13562,0.011948,0.024548,4.776e-07,0.64,0,0
0.031628,0.010999,0.027689,-2.3819e-05,0.0082996,-6.4814e-05,0,0,0.050413,-0.021641,0,-0.00033703,0,0,0,0.027689,-2.3994e-05,0.0082996,-0.13386,0.011988,0.02463,4.8239e-07,0.65,0,0
0.032133,0.011059,0.02778,-2.3162e-05,0.0083271,-6.3967e-05,0,0,0.050578,-0.021711,0,-0.00033263,0,0,0,0.02778,-2.3332e-05,0.0083271,-0.13169,0.012028,0.02471,4.8716e-07,0.66,0,0
0.032639,0.011116,0.02787,-2.2499e-05,0.0083543,-6.2939e-05,0,0,0.050741,-0.02178,0,-0.00032728,0,0,0,0.02787,-2.2663e-05,0.0083543,-0.12916,0.012067,0.02479,4.9189e-07,0.67,0,0
0.033148,0.011169,0.027959,-2.1834e-05,0.008381,-6.1754e-05,0,0,0.050902,-0.021847,0,-0.00032112,0,0,0,0.027959,-2.1992e-05,0.008381,-0.12634,0.012106,0.024868,4.9657e-07,0.68,0,0
0.033657,0.01122,0.028045,-2.1174e-05,0.0084072,-6.0432e-05,0,0,0.051059,-0.021914,0,-0.00031425,0,0,0,0.028045,-2.1324e-05,0.0084072,-0.12326,0.012144,0.024944,5.0118e-07,0.69,0,0
0.034169,0.011269,0.02813,-2.0522e-05,0.0084328,-5.8994e-05,0,0,0.051212,-0.021979,0,-0.00030677,0,0,0,0.02813,-2.0665e-05,0.0084328,-0.11997,0.012181,0.025019,5.0572e-07,0.7,0,0
0.034682,0.011315,0.028212,-1.9882e-05,0.0084577,-5.7454e-05,0,0,0.051362,-0.022042,0,-0.00029876,0,0,0,0.028212,-2.0017e-05,0.0084577,-0.11651,0.012217,0.025092,5.1016e-07,0.71,0,0
0.035196,0.011358,0.028292,-1.9256e-05,0.008482,-5.5827e-05,0,0,0.051507,-0.022103,0,-0.0002903,0,0,0,0.028293,-1.9383e-05,0.008482,-0.11289,0.012252,0.025163,5.1452e-07,0.72,0,0
0.035712,0.011399,0.02837,-1.8647e-05,0.0085055,-5.4125e-05,0,0,0.051649,-0.022163,0,-0.00028145,0,0,0,0.02837,-1.8766e-05,0.0085055,-0.10916,0.012286,0.025231,5.1876e-07,0.73,0,0
0.036229,0.011437,0.028446,-1.8056e-05,0.0085283,-5.2359e-05,0,0,0.051785,-0.022221,0,-0.00027227,0,0,0,0.028446,-1.8168e-05,0.0085283,-0.10532,0.012319,0.025298,5.229e-07,0.74,0,0
0.036747,0.011474,0.028519,-1.7486e-05,0.0085504,-5.0538e-05,0,0,0.051918,-0.022276,0,-0.0002628,0,0,0,0.028519,-1.7589e-05,0.0085504,-0.1014,0.012351,0.025362,5.2691e-07,0.75,0,0
0.037267,0.011508,0.028589,-1.6935e-05,0.0085716,-4.8671e-05,0,0,0.052045,-0.02233,0,-0.00025309,0,0,0,0.028589,-1.7031e-05,0.0085716,-0.097422,0.012381,0.025424,5.308e-07,0.76,0,0
0.037788,0.011541,0.028656,-1.6407e-05,0.008592,-4.6764e-05,0,0,0.052168,-0.022382,0,-0.00024317,0,0,0,0.028657,-1.6495e-05,0.008592,-0.09339,0.012411,0.025484,5.3456e-07,0.77,0,0
0.038311,0.011571,0.028721,-1.5901e-05,0.0086116,-4.4825e-05,0,0,0.052285,-0.022432,0,-0.00023309,0,0,0,0.028721,-1.5982e-05,0.0086116,-0.08932,0.012439,0.025541,5.3819e-07,0.78,0,0
0.038834,0.0116,0.028783,-1.5418e-05,0.0086304,-4.2859e-05,0,0,0.052398,-0.022479,0,-0.00022287,0,0,0,0.028784,-1.5491e-05,0.0086304,-0.085221,0.012466,0.025596,5.4167e-07,0.79,0,0
0.039359,0.011626,0.028843,-1.4957e-05,0.0086483,-4.0871e-05,0,0,0.052505,-0.022525,0,-0.00021253,0,0,0,0.028843,-1.5024e-05,0.0086483,-0.081104,0.012492,0.025648,5.4501e-07,0.8,0,0
0.039884,0.011651,0.028899,-1.452e-05,0.0086654,-3.8864e-05,0,0,0.052608,-0.022568,0,-0.00020209,0,0,0,0.028899,-1.4581e-05,0.0086654,-0.076975,0.012517,0.025698,5.4821e-07,0.81,0,0
0.040411,0.011675,0.028953,-1.4107e-05,0.0086816,-3.6844e-05,0,0,0.052705,-0.022609,0,-0.00019159,0,0,0,0.028953,-1.4161e-05,0.0086816,-0.07284,0.01254,0.025745,5.5126e-07,0.82,0,0
0.040938,0.011697,0.029003,-1.3716e-05,0.0086969,-3.4812e-05,0,0,0.052797,-0.022648,0,-0.00018102,0,0,0,0.029004,-1.3765e-05,0.0086969,-0.068705,0.012562,0.02579,5.5415e-07,0.83,0,0
0.041467,0.011717,0.029051,-1.3349e-05,0.0087114,-3.2772e-05,0,0,0.052884,-0.022684,0,-0.00017041,0,0,0,0.029051,-1.3392e-05,0.0087114,-0.064574,0.012583,0.025832,5.5689e-07,0.84,0,0
0.041996,0.011736,0.029096,-1.3006e-05,0.008725,-3.0725e-05,0,0,0.052965,-0.022719,0,-0.00015977,0,0,0,0.029096,-1.3043e-05,0.008725,-0.06045,0.012603,0.025872,5.5947e-07,0.85,0,0
0.042526,0.011753,0.029138,-1.2685e-05,0.0087377,-2.8675e-05,0,0,0.053042,-0.022751,0,-0.00014911,0,0,0,0.029138,-1.2718e-05,0.0087377,-0.056336,0.012621,0.025909,5.6189e-07,0.86,0,0
0.043057,0.011769,0.029177,-1.2388e-05,0.0087495,-2.6622e-05,0,0,0.053113,-0.022781,0,-0.00013843,0,0,0,0.029177,-1.2416e-05,0.0087495,-0.052234,0.012638,0.025943,5.6415e-07,0.87,0,0
0.043588,0.011784,0.029214,-1.2113e-05,0.0087605,-2.4568e-05,0,0,0.053178,-0.022809,0,-0.00012775,0,0,0,0.029214,-1.2137e-05,0.0087605,-0.048145,0.012654,0.025975,5.6624e-07,0.88,0,0
0.04412,0.011797,0.029247,-1.1862e-05,0.0087705,-2.2513e-05,0,0,0.053239,-0.022834,0,-0.00011707,0,0,0,0.029247,-1.1882e-05,0.0087705,-0.044069,0.012669,0.026005,5.6818e-07,0.89,0,0
0.044653,0.011809,0.029277,-1.1633e-05,0.0087797,-2.0459e-05,0,0,0.053294,-0.022858,0,-0.00010639,0,0,0,0.029277,-1.1649e-05,0.0087797,-0.040008,0.012682,0.026032,5.6994e-07,0.9,0,0
0.045186,0.01182,0.029305,-1.1426e-05,0.008788,-1.8406e-05,0,0,0.053344,-0.022879,0,-9.5714e-05,0,0,0,0.029305,-1.144e-05,0.008788,-0.03596,0.012694,0.026056,5.7155e-07,0.91,0,0
0.04572,0.01183,0.029329,-1.1242e-05,0.0087955,-1.6355e-05,0,0,0.053388,-0.022897,0,-8.5047e-05,0,0,0,0.029329,-1.1252e-05,0.0087955,-0.031927,0.012705,0.026078,5.7298e-07,0.92,0,0
0.046254,0.011838,0.029351,-1.1079e-05,0.008802,-1.4306e-05,0,0,0.053428,-0.022914,0,-7.4389e-05,0,0,0,0.029351,-1.1088e-05,0.008802,-0.027905,0.012714,0.026097,5.7425e-07,0.93,0,0
0.046788,0.011845,0.02937,-1.0939e-05,0.0088077,-1.2258e-05,0,0,0.053462,-0.022928,0,-6.3741e-05,0,0,0,0.02937,-1.0945e-05,0.0088077,-0.023896,0.012722,0.026113,5.7535e-07,0.94,0,0
0.047323,0.011851,0.029386,-1.0821e-05,0.0088125,-1.0212e-05,0,0,0.053491,-0.022941,0,-5.3101e-05,0,0,0,0.029386,-1.0825e-05,0.0088125,-0.019896,0.012729,0.026127,5.7628e-07,0.95,0,0
0.047858,0.011856,0.029399,-1.0724e-05,0.0088164,-8.1673e-06,0,0,0.053514,-0.022951,0,-4.247e-05,0,0,0,0.029399,-1.0727e-05,0.0088164,-0.015906,0.012735,0.026139,5.7705e-07,0.96,0,0
